DiabetesSTDEV,Lila 1 and 10,pop 2010,Urban,LowIncomeTracts,Average of percent,Average of lower confidence limit,Average of upper confidence limit,Statelist,CONCAT
0,1,17969,0,1,10.85,8.0875,14.2125,4,172
0,0,107118,0,0,9.725,7.8625,11.875,4,173
0,0,11233,0,0,10.4625,7.7375,13.8875,4,174
0,1,8195,0,1,11.375,8.3375,15.0125,4,175
0,0,125744,1,0,10.2375,8.3625,12.3625,4,176
0,1,17058,0,1,10.875,8.3125,13.925,4,177
0,1,17264,0,1,10.7125,8.0875,13.8625,4,178
0,1,28258,0,1,11.5,9.0625,14.4,4,179
0,1,12394,0,1,11.1,8.275,14.5375,4,180
0,0,41639,1,1,10.775,8.625,13.2375,4,181
0,0,17295,0,1,10.725,8.125,13.8125,4,182
0,0,203065,1,0,7.175,5.9625,8.5125,4,183
0,0,77076,0,0,9.4875,7.525,11.7875,4,184
1,0,7260,0,1,11.75,9,15.1875,4,185
0,0,22185,0,1,10.825,8.2625,13.8375,4,186
0,0,1510271,1,0,7.35,6.2125,8.6,5,187
0,0,1175,0,0,8.35,5.625,11.7875,5,188
0,0,38091,0,0,8.75,6.425,11.7875,5,189
0,0,220000,1,1,7.9125,6.225,9.9,5,190
0,0,45578,0,0,7.9875,5.825,10.6375,5,191
0,0,21419,0,1,7.6,5.3875,10.4625,5,192
0,0,1049025,1,0,7.15,5.9625,8.45,5,193
0,0,28610,1,1,7.6375,5.525,10.3625,5,194
0,0,181058,0,0,7.325,5.5875,9.475,5,195
0,0,930450,1,1,7.9625,6.5625,9.575,5,196
0,1,28122,1,1,7.425,5.3625,10.1,5,197
0,0,134623,1,1,8.1625,6.25,10.525,5,198
0,0,174528,1,1,7.1,5.2625,9.4875,5,199
0,0,18546,0,0,8.3625,6.1,11.25,5,200
0,0,839631,1,1,7.625,6.175,9.3625,5,201
0,0,152982,1,1,6.425,4.7125,8.6125,5,202
0,0,64665,0,1,8.6125,6.4125,11.325,5,203
0,0,34895,0,0,6.5875,4.7125,9.0375,5,204
0,0,9818605,1,0,7.1875,6.4875,7.95,5,205
0,0,150865,0,1,7.7375,5.75,10.175,5,206
0,0,252409,1,0,6.2375,4.7875,7.9625,5,207
0,0,18251,0,0,8.375,6.0375,11.275,5,208
0,0,87841,0,1,7.6,5.6375,10.05,5,209
0,0,255793,1,1,7.3,5.4875,9.55,5,210
0,1,9686,0,1,8.2375,5.85,11.2125,5,211
